team_name,1,2,3,4,5,6,7,8,9,10,11,12,Playoff Probability
Tkota10,0.547,0.091,0.17,0.084,0.036,0.034,0.029,0.009,0.0,0.0,0.0,0.0,0.9620000000000001
Big,0.213,0.402,0.093,0.125,0.051,0.035,0.052,0.029,0.0,0.0,0.0,0.0,0.919
"Dicker, I barely know her",0.051,0.072,0.182,0.115,0.292,0.089,0.072,0.11,0.017,0.0,0.0,0.0,0.8009999999999999
Moore Brown Boutte!,0.059,0.131,0.17,0.256,0.09,0.05,0.079,0.132,0.033,0.0,0.0,0.0,0.756
vincentzhu,0.067,0.068,0.102,0.177,0.197,0.068,0.16,0.149,0.012,0.0,0.0,0.0,0.679
aaron jones fc,0.029,0.105,0.108,0.137,0.114,0.18,0.14,0.152,0.035,0.0,0.0,0.0,0.673
USS Cole,0.025,0.079,0.13,0.04,0.129,0.239,0.168,0.149,0.041,0.0,0.0,0.0,0.642
Pickens My Nose,0.009,0.052,0.045,0.066,0.078,0.215,0.173,0.206,0.156,0.0,0.0,0.0,0.46499999999999997
Andrew Gay,0.0,0.0,0.0,0.0,0.013,0.09,0.127,0.064,0.42,0.257,0.029,0.0,0.103
14 Reaches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261,0.694,0.014,0.031,0.0
Chase Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.004,0.926,0.045,0.0
MARVIN HARRISON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.031,0.924,0.0
